EmployeeID,Age,Department,JobLevel,YearsAtCompany,MonthlyIncome,JobSatisfaction,WorkLifeBalance,OverTime,DistanceFromHome,PromotionLast5Years,PerformanceRating,TrainingHoursLastYear,Attrition,SalaryBand,ExperienceLevel
EMP0000,42,Sales,3,9,9866,4,1,No,24.5,Yes,4,19,No,Medium,6+ Years
EMP0001,36,Sales,3,7,8958,3,3,No,10,No,2,13,No,Medium,6+ Years
EMP0002,44,Sales,4,16,11716,4,3,No,4,No,4,13,No,High,6+ Years
EMP0003,53,Finance,4,30,17061,5,3,No,7.1,No,3,20,No,High,6+ Years
EMP0004,35,HR,2,4,5738,2,3,No,8.4,No,2,15,No,Medium,3-5 Years
EMP0005,35,Sales,1,1,3839,2,3,No,3.1,No,2,18,No,Low,0-2 Years
EMP0006,53,IT,4,31,17377,3,3,No,8.9,No,4,18,No,High,6+ Years
EMP0007,45,Finance,2,5,8463,4,3,No,17.6,No,2,8,No,Medium,3-5 Years
EMP0008,33,HR,2,8,6956,5,3,No,3.6,No,2,7,No,Medium,6+ Years
EMP0009,43,Engineering,2,4,9383,1,3,Yes,8.6,No,3,10,No,Medium,3-5 Years
EMP0010,33,Finance,2,3,8594,4,3,No,4.5,No,2,13,No,Medium,3-5 Years
EMP0011,33,Engineering,1,1,5517,2,2,No,8.2,No,3,23,Yes,Medium,0-2 Years
EMP0012,40,Finance,3,11,10530,4,1,No,8.6,No,3,18,No,High,6+ Years
EMP0013,22,Finance,1,0,5729,3,2,Yes,4,No,3,18,No,Medium,0-2 Years
EMP0014,22,Sales,1,0,4524,1,3,No,6.1,No,3,15,No,Low,0-2 Years
EMP0015,32,IT,2,2,8191,2,3,No,12.5,No,2,13,No,Medium,0-2 Years
EMP0016,27,HR,2,5,6277,3,3,Yes,11.5,Yes,2,19,Yes,Medium,3-5 Years
EMP0017,41,Engineering,4,13,14731,5,4,Yes,3.3,No,2,13,No,High,6+ Years
EMP0018,28,IT,2,4,9583,2,3,Yes,8.1,No,3,19,No,Medium,3-5 Years
EMP0019,23,Engineering,1,0,4994,3,2,Yes,6.5,Yes,3,20,No,Low,0-2 Years
EMP0020,52,Finance,4,25,16061,5,2,No,5.4,No,1,14,No,High,6+ Years
EMP0021,35,Finance,3,13,11207,3,1,No,5.5,No,3,17,No,High,6+ Years
EMP0022,38,Sales,2,2,6269,3,2,No,11.3,No,2,14,No,Medium,0-2 Years
EMP0023,23,IT,1,1,5730,4,2,No,3.9,Yes,3,9,Yes,Medium,0-2 Years
EMP0024,32,HR,3,6,7609,3,2,No,19.2,No,1,14,No,Medium,6+ Years
EMP0025,39,Engineering,4,14,15186,5,4,No,6.1,No,2,15,No,High,6+ Years
EMP0026,26,IT,2,4,7405,1,3,No,14.5,No,3,9,No,Medium,3-5 Years
EMP0027,41,HR,3,5,7183,5,3,Yes,14.7,Yes,2,12,No,Medium,3-5 Years
EMP0028,31,Finance,1,0,4572,2,3,No,2.3,No,3,11,No,Low,0-2 Years
EMP0029,35,Operations,2,3,5719,3,3,No,12.7,No,3,12,No,Medium,3-5 Years
EMP0030,31,Sales,2,5,6652,4,1,No,14.9,No,3,15,No,Medium,3-5 Years
EMP0031,56,Sales,3,31,12746,3,4,Yes,6,No,2,20,No,High,6+ Years
EMP0032,37,Sales,3,10,9278,3,2,No,5.1,Yes,3,15,No,Medium,6+ Years
EMP0033,27,Operations,2,5,6195,5,4,No,33.5,No,2,9,No,Medium,3-5 Years
EMP0034,46,Sales,4,13,11588,3,3,No,15.9,No,3,14,No,High,6+ Years
EMP0035,25,Engineering,2,2,8350,3,2,No,3.5,No,3,20,No,Medium,0-2 Years
EMP0036,40,Engineering,4,11,14664,4,2,No,7.3,No,2,9,No,High,6+ Years
EMP0037,22,Engineering,1,0,5832,2,3,Yes,3.7,No,2,12,No,Medium,0-2 Years
EMP0038,24,Finance,2,2,7610,3,2,No,8,No,2,19,No,Medium,0-2 Years
EMP0039,39,IT,3,9,11002,3,3,Yes,10.6,Yes,2,16,No,High,6+ Years
EMP0040,45,Engineering,2,5,9125,3,2,No,6.3,No,3,8,No,Medium,3-5 Years
EMP0041,39,Engineering,3,8,12417,1,3,No,16.2,No,2,13,No,High,6+ Years
EMP0042,36,Operations,1,1,3819,5,3,No,8,No,1,12,No,Low,0-2 Years
EMP0043,34,Engineering,2,3,8795,4,2,Yes,8.1,No,3,13,No,Medium,3-5 Years
EMP0044,23,IT,1,0,5578,5,2,No,34.4,No,2,14,No,Medium,0-2 Years
EMP0045,30,HR,2,3,6340,4,4,No,5.5,No,3,17,No,Medium,3-5 Years
EMP0046,33,Engineering,3,7,11416,2,3,No,19.3,No,2,15,No,High,6+ Years
EMP0047,48,IT,3,25,14082,3,3,No,26.1,No,3,14,Yes,High,6+ Years
EMP0048,41,Engineering,4,18,15838,1,3,No,5.8,Yes,3,21,No,High,6+ Years
EMP0049,22,Sales,1,0,4627,4,4,Yes,3.5,No,1,22,No,Low,0-2 Years
EMP0050,41,Sales,4,18,12049,4,3,No,6.3,No,3,14,No,High,6+ Years
EMP0051,34,IT,2,8,9472,3,2,No,12.7,No,2,21,No,Medium,6+ Years
EMP0052,31,Operations,3,9,8643,5,3,No,17.9,No,3,15,No,Medium,6+ Years
EMP0053,44,Engineering,3,7,12107,4,3,No,8.2,No,2,16,No,High,6+ Years
EMP0054,48,Operations,1,0,4001,4,1,Yes,19.9,No,2,17,No,Low,0-2 Years
EMP0055,47,Marketing,3,9,10976,3,3,Yes,2.6,No,3,16,No,High,6+ Years
EMP0056,29,Engineering,3,5,10745,3,4,Yes,10.5,No,2,14,No,High,3-5 Years
EMP0057,34,Finance,1,1,5921,4,3,No,10.3,No,4,18,No,Medium,0-2 Years
EMP0058,41,Finance,2,2,8156,4,3,No,1.9,No,3,9,No,Medium,0-2 Years
EMP0059,47,HR,3,10,8930,4,3,No,9.1,Yes,2,13,No,Medium,6+ Years
EMP0060,33,Sales,1,1,5176,5,2,No,20.7,No,3,14,No,Medium,0-2 Years
EMP0061,36,Sales,2,2,5701,2,2,Yes,8.6,No,2,10,Yes,Medium,0-2 Years
EMP0062,26,Operations,2,2,7263,2,4,No,9.1,No,1,16,No,Medium,0-2 Years
EMP0063,26,Operations,1,2,4759,4,2,No,11,No,2,16,No,Low,0-2 Years
EMP0064,46,Finance,3,13,12814,3,2,No,11.3,No,4,13,No,High,6+ Years
EMP0065,51,Operations,2,5,7562,3,1,No,2.8,Yes,2,7,No,Medium,3-5 Years
EMP0066,37,Finance,4,14,14414,5,4,No,6.3,No,3,18,No,High,6+ Years
EMP0067,48,Operations,2,13,7958,4,3,Yes,15.6,No,4,13,No,Medium,6+ Years
EMP0068,41,Sales,3,6,9374,4,2,Yes,13.5,No,3,11,No,Medium,6+ Years
EMP0069,31,Engineering,2,9,8609,3,3,No,8.1,No,2,18,No,Medium,6+ Years
EMP0070,41,HR,4,14,10855,3,3,No,14.1,Yes,3,14,No,High,6+ Years
EMP0071,53,Engineering,4,30,18184,5,4,Yes,15.6,Yes,2,20,No,High,6+ Years
